nid,title,uuid,field_leg_hosting_site_value,field_leg_hosting_master_stage_value,HMS_UUID,HMS_Value,Acquia_Hosting_Product,field_leg_remote_admin_value,field_active_value,field_ra_pref_update_value,RA_Pref_Update_UUID,date,docroot,realm,prod_env_core,ra_env_core,Prod Formatted Version,RA Formatted Version,Prod Major Version,Prod Release,Prod Secure,RA Major Version,RA Release,RA Secure,Prod Current,RA Current,RA Pref
8541396,l3harris,c04f1793-8566-4d24-908b-a42e10a89be8,l3harris,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,l3harris,prod,8812,111,8.8.12,1.1.1,8.x,2020-11-26,0,,,0,,,Update
8541676,Columbia Law School D8,9938eecc-197d-43eb-85e4-4dd61b43e440,culawd8,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,culawd8,prod,8916,111,8.9.16,1.1.1,8.x,2021-05-26,1,,,0,x,,Update
8541781,Parramatta Place Brand,8eb811cb-4f18-485f-97d3-832b35efd201,placebrand,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,placebrand,prod,8916,8916,8.9.16,8.9.16,8.x,2021-05-26,1,8.x,2021-05-26,1,x,x,Update
8542646,MX Survey,a0e81fe6-6c4d-45d4-aadc-72c9b64425c1,mxsurvey,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,mxsurvey,prod,8913,111,8.9.13,1.1.1,8.x,2021-01-21,0,,,0,,,Update
8542671,pfseznamte,c6aee231-2108-49cd-b400-1e4dd406b8ec,pfseznamte,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,c6aee231-2108-49cd-b400-1e4dd406b8ec,2021-06-08,pfseznamte,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8542681,pfviagraconnectie,1ceffde5-0c79-4787-82b9-933015e94037,pfviagraconnectie,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,1ceffde5-0c79-4787-82b9-933015e94037,2021-06-08,pfviagraconnectie,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8543386,JNJ Node.JS Sandbox,86bc62b9-c1a0-4b3c-9791-39929e06b22d,jnjnodejs,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,jnjnodejs,prod,333,333,3.3.3,3.3.3,,,0,,,0,,,Update
8543456,pfstudypfizercom,257c293d-603a-4bf0-9dae-979a91342a70,pfstudypfizercom,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,257c293d-603a-4bf0-9dae-979a91342a70,2021-06-08,pfstudypfizercom,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8543526,Ooreka CMS,deb1c7a0-ff4d-4027-b15c-8cc56fb80ef0,oorekacms,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,oorekacms,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8543976,Liverpool FC DXP,6999c564-491a-4b11-a660-a0ba3ffe92c5,lfcdxp,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,lfcdxp,prod,333,111,3.3.3,1.1.1,,,0,,,0,,,Update
8544816,pfpromedicum,2c29d3a4-2568-4eda-942c-13a8a9364d61,pfpromedicum,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,2c29d3a4-2568-4eda-942c-13a8a9364d61,2021-06-08,pfpromedicum,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8544961,BAC CREDOMATIC - multibank,229a9c04-c568-4f0f-bdc3-4eb3c4447e71,multibank,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,multibank,prod,776,776,7.76,7.76,7.x,2020-12-02,0,7.x,2020-12-02,0,,,Update
8545661,Rodenstock Photo,2d2ccded-3abf-4008-8eea-8f6f8f9f569c,roddenstockphoto,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,roddenstockphoto,prod,8911,111,8.9.11,1.1.1,8.x,2020-12-03,0,,,0,,,Update
8545801,pftmabimaging,a21fb7b5-a7dc-4f82-9892-342c4a8a11a2,pftmabimaging,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,a21fb7b5-a7dc-4f82-9892-342c4a8a11a2,2021-06-08,pftmabimaging,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
